Date,Predicted_Close
2025-11-17,96329.67
2025-11-18,97361.71
2025-11-19,98423.78
2025-11-20,99272.016
2025-11-21,99881.08
2025-11-22,100313.414
2025-11-23,100648.1
2025-11-24,100947.79
2025-11-25,101248.625
2025-11-26,101563.89
2025-11-27,101892.29
2025-11-28,102226.14
2025-11-29,102556.73
2025-11-30,102876.664
2025-12-01,103181.414
2025-12-02,103469.37
2025-12-03,103740.85
2025-12-04,103997.08
2025-12-05,104239.43
2025-12-06,104468.89
2025-12-07,104685.39
2025-12-08,104890.07
2025-12-09,105086.16
2025-12-10,105275.07
2025-12-11,105456.44
2025-12-12,105630.195
2025-12-13,105796.664
2025-12-14,105956.45
2025-12-15,106110.67
2025-12-16,106260.336
2025-12-17,106405.81
2025-12-18,106546.88
2025-12-19,106683.48
2025-12-20,106816.164
2025-12-21,106945.555
2025-12-22,107071.87
2025-12-23,107195.52
2025-12-24,107316.5
2025-12-25,107433.945
2025-12-26,107547.32
2025-12-27,107656.96
2025-12-28,107763.914
2025-12-29,107868.94
2025-12-30,107971.79
2025-12-31,108071.76
2026-01-01,108168.27
2026-01-02,108261.93
2026-01-03,108353.484
2026-01-04,108443.01
2026-01-05,108530.98
2026-01-06,108617.71
2026-01-07,108703.29
2026-01-08,108787.1
2026-01-09,108868.46
2026-01-10,108947.23
2026-01-11,109023.305
2026-01-12,109097.086
2026-01-13,109169.44
2026-01-14,109240.63
2026-01-15,109310.85
2026-01-16,109380.086
2026-01-17,109448.234
2026-01-18,109515.125
2026-01-19,109580.65
2026-01-20,109644.73
2026-01-21,109707.35
2026-01-22,109768.55
2026-01-23,109828.375
2026-01-24,109886.89
2026-01-25,109944.15
2026-01-26,110000.18
2026-01-27,110054.98
2026-01-28,110108.58
2026-01-29,110160.98
2026-01-30,110212.234
2026-01-31,110262.32
2026-02-01,110311.28
2026-02-02,110359.12
2026-02-03,110405.87
2026-02-04,110451.555
2026-02-05,110496.2
2026-02-06,110539.82
2026-02-07,110582.414
2026-02-08,110624.07
2026-02-09,110664.75
2026-02-10,110704.5
2026-02-11,110743.34
2026-02-12,110781.27
2026-02-13,110818.33
2026-02-14,110854.53
